"id","name","artists","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","ranking","ranking_5","cluster"
"7KXjTSCq5nL1LoYtL7XAw","HUMBLE.","Kendrick Lamar",0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,"83","(80,100]",5
"48zFZh27QU5qsrBjn4C2F","Vaina Loca","Ozuna",0.754,0.805,-4.249,0.0752,0.315,0,0.203,0.555,93.983,176133,"84","(80,100]",1
"1bhUWB0zJMIKr9yVPrkEu","Perfect Duet (Ed Sheeran & Beyonc?)","Ed Sheeran",0.587,0.299,-7.365,0.0263,0.779,0,0.123,0.356,94.992,259550,"85","(80,100]",3
"5cepAtqnEQ6yVG6088zMM","Coraz?n (feat. Nego do Borel)","Maluma",0.722,0.738,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,184720,"86","(80,100]",4
"5Z3GHaZ6ec9bsiI5Benrb","Young Dumb & Broke","Khalid",0.798,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,"87","(80,100]",4
"5Y9fnynLlIvqtM710MHzf","S?guelo Bailando","Ozuna",0.855,0.664,-7.11,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,"88","(80,100]",1
"3Ga6eKrUFf12ouh9Yw3v2","Downtown","Anitta",0.775,0.679,-4.985,0.135,0.18,7.26e-05,0.068,0.619,166.008,193456,"89","(80,100]",4
"3xcCix7Jv1Rp90YVmgo35","Bella","Wolfine",0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,"90","(80,100]",1
"5N5k9nd479b1xpDZ4usjr","Promises (with Sam Smith)","Calvin Harris",0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,"91","(80,100]",2
"6vN77lE9LK6HP2DewaN6H","Yes Indeed","Lil Baby",0.964,0.346,-9.309,0.53,0.035,0,0.108,0.562,119.958,142273,"92","(80,100]",5
"2P91MQbaiQOfbiz9VqhqK","I Like Me Better","Lauv",0.752,0.505,-7.621,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,"93","(80,100]",3
"2xGjteMU3E1tkEPVFBO08","This Is Me","Keala Settle",0.284,0.704,-7.276,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,"94","(80,100]",4
"3GVkPk8mqxz0itaAriG1L","Everybody Dies In Their Nightmares","XXXTENTACION",0.734,0.57,-7.066,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,"95","(80,100]",3
"630sXRhIcfwr2e4RdNtjK","Rewrite The Stars","Zac Efron",0.684,0.619,-7.005,0.0386,0.0716,0,0.122,0.284,125.046,217440,"96","(80,100]",4
"2xmrfQpmS2iJExTlklLoA","I Miss You (feat. Julia Michaels)","Clean Bandit",0.638,0.658,-6.318,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,205748,"97","(80,100]",4
"5WvAo7DNuPRmk4APhdPzi","No Brainer","DJ Khaled",0.552,0.76,-4.706,0.342,0.0733,0,0.0865,0.639,135.702,260000,"98","(80,100]",4
"1j4kHkkpqZRBwE0A4CN4Y","Dusk Till Dawn - Radio Edit","ZAYN",0.258,0.437,-6.593,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,"99","(80,100]",4
"3EPXxR3ImUwfayaurPi3c","Be Alright","Dean Lewis",0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684,196373,"100","(80,100]",3
